timestamp,x_m,y_m,magnitude_h2,laser_distance_cm
2026-05-13T12:37:38.889905,-0.0006,0.1488,0.281150,4.900
2026-05-13T12:37:38.911964,-0.0002,0.1357,0.267326,4.900
2026-05-13T12:37:38.930860,-0.0002,0.1357,0.229280,4.900
2026-05-13T12:37:38.952924,-0.0002,0.1357,0.229332,4.800
2026-05-13T12:37:38.971862,-0.0002,0.1357,0.216058,4.800
2026-05-13T12:37:38.992855,-0.0002,0.1357,0.300605,4.800
2026-05-13T12:37:39.013863,-0.0002,0.1357,0.249592,5.100
2026-05-13T12:37:39.033755,-0.0002,0.1357,0.050456,5.100
2026-05-13T12:37:39.054803,-0.0002,0.1357,0.130401,4.800
2026-05-13T12:37:39.074765,0.0005,0.1221,0.110864,4.800
2026-05-13T12:37:39.094704,0.0005,0.1221,0.066186,4.800
2026-05-13T12:37:39.116768,0.0005,0.1221,0.242992,5.100
2026-05-13T12:37:39.135696,0.0005,0.1221,0.282536,5.100
2026-05-13T12:37:39.157700,0.0005,0.1221,0.329847,5.000
2026-05-13T12:37:39.176612,0.0005,0.1221,0.374844,5.000
2026-05-13T12:37:39.198657,0.0005,0.1221,0.207492,4.800
2026-05-13T12:37:39.217567,0.0005,0.1221,0.114421,4.800
2026-05-13T12:37:39.238548,0.0005,0.1221,0.205125,4.800
2026-05-13T12:37:39.259600,0.0008,0.1098,0.324494,4.900
2026-05-13T12:37:39.279513,0.0008,0.1098,0.115196,4.900
2026-05-13T12:37:39.300576,0.0008,0.1098,0.083165,5.200
2026-05-13T12:37:39.320470,0.0008,0.1098,0.140865,5.200
2026-05-13T12:37:39.340459,0.0008,0.1098,0.011964,5.200
2026-05-13T12:37:39.362512,-0.0001,0.1011,0.084640,4.900
2026-05-13T12:37:39.381407,-0.0001,0.1011,0.243232,4.900
2026-05-13T12:37:39.403987,-0.0001,0.1011,0.292493,4.900
2026-05-13T12:37:39.422371,-0.0001,0.1011,0.220507,4.900
2026-05-13T12:37:39.443349,-0.0001,0.1011,0.243677,4.900
2026-05-13T12:37:39.463330,-0.0001,0.1011,0.369599,4.800
2026-05-13T12:37:39.484325,-0.0010,0.0906,0.497726,4.800
2026-05-13T12:37:39.505357,-0.0010,0.0906,0.318969,5.000
2026-05-13T12:37:39.525277,-0.0010,0.0906,0.218672,5.000
2026-05-13T12:37:39.546315,-0.0010,0.0906,0.081087,4.700
2026-05-13T12:37:39.566226,-0.0010,0.0906,0.067787,4.700
2026-05-13T12:37:39.586213,-0.0010,0.0906,0.192311,4.700
2026-05-13T12:37:39.608252,-0.0010,0.0906,0.200643,5.000
2026-05-13T12:37:39.627172,-0.0010,0.0906,0.148210,5.000
2026-05-13T12:37:39.649231,-0.0010,0.0906,0.227350,4.900
2026-05-13T12:37:39.668133,-0.0016,0.0773,0.135344,4.900
2026-05-13T12:37:39.689112,-0.0016,0.0773,0.267249,4.900
2026-05-13T12:37:39.709091,-0.0016,0.0773,0.276814,5.000
2026-05-13T12:37:39.730070,-0.0016,0.0773,0.351191,5.000
2026-05-13T12:37:39.751112,-0.0016,0.0773,0.433637,5.100
2026-05-13T12:37:39.771021,-0.0016,0.0773,0.419325,5.100
2026-05-13T12:37:39.792084,-0.0016,0.0773,0.279369,4.900
2026-05-13T12:37:39.811994,-0.0018,0.0603,0.267303,4.900
2026-05-13T12:37:39.831963,-0.0018,0.0603,0.322631,4.900
2026-05-13T12:37:39.853998,-0.0018,0.0603,0.240885,4.800
